tecnica,alternativa,x1,x2,x3,ganancia,tiempo,metodo,puntaje
TOPSIS,96,0,48,0,3120.0,57.599999999999994,MOPSO,0.5088852703767967
Suma ponderada normalizada,25,0,30,0,1950.0,36.0,MOPSO,0.5102548549927521
