alternativa,x1,x2,x3,ganancia,tiempo,metodo,alternativas_equivalentes
122,4,50,1,3500.0,64.89999999999999,MOPSO,1
123,1,45,6,3505.0,65.0,MOPSO,1
124,0,50,3,3520.0,65.1,MOPSO,1
125,0,46,6,3530.0,65.39999999999999,MOPSO,1
126,1,47,5,3545.0,65.69999999999999,NSGA-II,1
127,0,45,7,3555.0,65.9,MOPSO,1
128,0,47,6,3595.0,66.6,MOPSO,1
129,0,43,9,3605.0,66.9,MOPSO,1
130,0,46,7,3620.0,67.1,NSGA-II,1
131,1,47,6,3635.0,67.39999999999999,MOPSO,1
132,1,50,4,3650.0,67.6,MOPSO,1
133,0,41,11,3655.0,67.89999999999999,MOPSO,1
134,0,47,7,3685.0,68.3,MOPSO,1
135,0,50,5,3700.0,68.5,MOPSO,1
136,0,46,8,3710.0,68.8,MOPSO,1
137,6,44,7,3730.0,69.5,NSGA-II,1
138,0,44,10,3760.0,69.8,MOPSO,1
139,0,47,8,3775.0,70.0,MOPSO,1
140,0,43,11,3785.0,70.3,MOPSO,1
141,0,49,7,3815.0,70.7,MOPSO,1
142,1,50,6,3830.0,71.0,NSGA-II,1
143,0,48,8,3840.0,71.19999999999999,MOPSO,1
144,0,44,11,3850.0,71.5,MOPSO,1
145,0,47,9,3865.0,71.7,MOPSO,1
146,0,36,17,3870.0,72.1,MOPSO,1
147,1,44,11,3890.0,72.3,MOPSO,1
148,0,49,8,3905.0,72.39999999999999,MOPSO,1
149,1,46,10,3930.0,73.0,MOPSO,1
150,1,49,8,3945.0,73.19999999999999,MOPSO,1
151,0,47,10,3955.0,73.39999999999999,MOPSO,1
152,0,50,8,3970.0,73.6,MOPSO,1
153,0,46,11,3980.0,73.89999999999999,MOPSO,1
154,2,45,11,3995.0,74.3,MOPSO,1
155,1,50,8,4010.0,74.39999999999999,Ambos,1
156,0,44,13,4030.0,74.89999999999999,MOPSO,1
157,0,47,11,4045.0,75.1,MOPSO,1
158,2,50,8,4050.0,75.19999999999999,MOPSO,1
159,0,50,9,4060.0,75.3,MOPSO,1
160,5,50,7,4080.0,75.9,NSGA-II,1
161,2,45,12,4085.0,76.0,MOPSO,1
162,1,50,9,4100.0,76.1,Ambos,1
163,4,50,8,4130.0,76.8,MOPSO,1
164,0,43,15,4145.0,77.1,MOPSO,1
165,2,49,10,4165.0,77.39999999999999,MOPSO,1
166,0,49,11,4175.0,77.5,MOPSO,1
167,0,48,12,4200.0,78.0,MOPSO,1
168,0,47,13,4225.0,78.5,MOPSO,1
169,0,50,11,4240.0,78.7,MOPSO,1
170,0,46,14,4250.0,79.0,MOPSO,1
171,0,49,12,4265.0,79.2,MOPSO,1
172,0,48,13,4290.0,79.69999999999999,MOPSO,1
173,0,44,16,4300.0,80.0,MOPSO,1
174,0,50,12,4330.0,80.4,MOPSO,1
175,0,46,15,4340.0,80.69999999999999,MOPSO,1
176,0,49,13,4355.0,80.89999999999999,MOPSO,1
177,1,50,12,4370.0,81.2,MOPSO,1
178,0,48,14,4380.0,81.39999999999999,MOPSO,1
179,0,47,15,4405.0,81.89999999999999,MOPSO,1
180,0,50,13,4420.0,82.1,MOPSO,1
181,0,49,14,4445.0,82.6,MOPSO,1
182,1,50,13,4460.0,82.89999999999999,MOPSO,1
183,0,44,18,4480.0,83.39999999999999,MOPSO,1
184,0,47,16,4495.0,83.6,MOPSO,1
185,0,50,14,4510.0,83.8,MOPSO,1
186,1,44,18,4520.0,84.2,MOPSO,1
187,1,50,14,4550.0,84.6,MOPSO,1
188,0,48,16,4560.0,84.8,MOPSO,1
189,2,47,16,4575.0,85.2,MOPSO,1
190,2,50,14,4590.0,85.39999999999999,MOPSO,1
191,0,50,15,4600.0,85.5,MOPSO,1
192,0,49,16,4625.0,86.0,MOPSO,1
193,2,48,16,4640.0,86.39999999999999,MOPSO,1
194,0,48,17,4650.0,86.5,MOPSO,1
195,1,49,16,4665.0,86.8,MOPSO,1
196,1,45,19,4675.0,87.1,MOPSO,1
197,0,50,16,4690.0,87.2,MOPSO,1
198,0,49,17,4715.0,87.7,MOPSO,1
199,1,50,16,4730.0,88.0,MOPSO,1
200,1,46,19,4740.0,88.3,MOPSO,1
201,0,47,19,4765.0,88.7,MOPSO,1
202,0,50,17,4780.0,88.9,MOPSO,1
203,0,46,20,4790.0,89.19999999999999,MOPSO,1
204,0,49,18,4805.0,89.39999999999999,MOPSO,1
205,3,50,16,4810.0,89.6,MOPSO,1
206,0,45,21,4815.0,89.7,MOPSO,1
207,6,40,22,4820.0,90.2,NSGA-II,1
208,0,47,20,4855.0,90.39999999999999,MOPSO,1
209,0,50,18,4870.0,90.6,MOPSO,1
210,0,46,21,4880.0,90.89999999999999,MOPSO,1
211,0,49,19,4895.0,91.1,MOPSO,1
212,0,45,22,4905.0,91.4,Ambos,1
213,2,48,19,4910.0,91.5,MOPSO,1
214,0,47,21,4945.0,92.1,MOPSO,1
215,0,50,19,4960.0,92.3,MOPSO,1
216,1,44,23,4970.0,92.7,MOPSO,1
217,0,49,20,4985.0,92.8,MOPSO,1
218,1,50,19,5000.0,93.1,MOPSO,1
219,0,48,21,5010.0,93.3,MOPSO,1
220,2,47,21,5025.0,93.7,MOPSO,1
221,2,50,19,5040.0,93.89999999999999,MOPSO,1
222,0,50,20,5050.0,94.0,MOPSO,1
223,0,46,23,5060.0,94.3,MOPSO,1
224,0,49,21,5075.0,94.5,MOPSO,1
225,1,50,20,5090.0,94.8,MOPSO,1
226,0,48,22,5100.0,95.0,MOPSO,1
227,5,45,22,5105.0,95.4,NSGA-II,1
228,5,48,20,5120.0,95.6,MOPSO,1
229,0,50,21,5140.0,95.7,MOPSO,1
230,0,46,24,5150.0,96.0,MOPSO,1
231,3,50,20,5170.0,96.39999999999999,MOPSO,1
232,1,50,21,5180.0,96.5,MOPSO,1
233,0,48,23,5190.0,96.69999999999999,MOPSO,1
234,1,49,22,5205.0,97.0,MOPSO,1
235,2,50,21,5220.0,97.3,MOPSO,1
236,0,50,22,5230.0,97.4,MOPSO,1
237,4,45,24,5245.0,98.0,MOPSO,1
238,3,50,21,5260.0,98.1,MOPSO,1
239,1,50,22,5270.0,98.2,MOPSO,1
240,0,48,24,5280.0,98.39999999999999,MOPSO,1
241,1,49,23,5295.0,98.69999999999999,MOPSO,1
242,0,47,25,5305.0,98.89999999999999,MOPSO,1
243,2,50,22,5310.0,99.0,MOPSO,1
244,0,50,23,5320.0,99.1,MOPSO,1
245,0,49,24,5345.0,99.6,MOPSO,1
246,1,50,23,5360.0,99.89999999999999,MOPSO,1
247,1,49,24,5385.0,100.39999999999999,MOPSO,1
248,0,47,26,5395.0,100.6,MOPSO,1
249,2,50,23,5400.0,100.69999999999999,MOPSO,1
250,0,50,24,5410.0,100.8,MOPSO,1
251,2,49,24,5425.0,101.2,MOPSO,1
252,0,49,25,5435.0,101.3,MOPSO,1
253,1,50,24,5450.0,101.6,MOPSO,1
254,8,50,21,5460.0,102.1,MOPSO,1
255,2,50,24,5490.0,102.39999999999999,MOPSO,1
256,2,42,30,5510.0,103.0,MOPSO,2
257,1,50,25,5540.0,103.3,MOPSO,1
258,1,46,28,5550.0,103.6,Ambos,1
259,5,45,27,5555.0,103.9,MOPSO,1
260,0,50,26,5590.0,104.2,MOPSO,1
261,0,49,27,5615.0,104.7,MOPSO,1
262,3,49,26,5645.0,105.39999999999999,MOPSO,1
263,7,48,25,5650.0,105.69999999999999,MOPSO,1
264,1,48,28,5680.0,106.0,MOPSO,1
265,0,46,30,5690.0,106.19999999999999,MOPSO,1
266,4,45,29,5695.0,106.5,NSGA-II,1
267,3,50,26,5710.0,106.6,MOPSO,1
268,1,50,27,5720.0,106.7,MOPSO,1
269,2,50,27,5760.0,107.5,MOPSO,1
270,0,50,28,5770.0,107.6,MOPSO,1
271,0,49,29,5795.0,108.1,NSGA-II,1
272,1,50,28,5810.0,108.39999999999999,Ambos,1
