alternativa,x1,x2,x3,ganancia,tiempo,metodo,alternativas_equivalentes,ganancia_normalizada,tiempo_normalizado,distancia_ideal_positiva,distancia_ideal_negativa,puntaje_topsis,ranking_topsis,puntaje_suma_ponderada,ranking_suma_ponderada
42,0,34,0,2210.0,40.8,MOPSO,1,0.21908893709327548,0.8009478672985783,0.4029403925219879,0.41518593680627064,0.5074838957287454,64,0.5100184021959269,5
43,2,33,0,2225.0,41.199999999999996,MOPSO,1,0.22234273318872017,0.7962085308056871,0.401958265103719,0.41333531047128713,0.5069772691134787,92,0.5092756319972036,37
44,0,35,0,2275.0,42.0,MOPSO,1,0.23318872017353579,0.7867298578199052,0.3979584439406387,0.41028065040941786,0.5076228720893987,52,0.5099592889967205,7
45,0,31,3,2285.0,42.3,NSGA-II,1,0.23535791757049893,0.783175355450237,0.39739477874849305,0.4088878167504282,0.5071271772856569,81,0.509266636510368,38
46,0,34,1,2300.0,42.5,MOPSO,1,0.2386117136659436,0.7808056872037914,0.3961559886360779,0.40822575588404,0.5075025119162467,60,0.5097087004348675,16
47,0,30,4,2310.0,42.8,MOPSO,1,0.24078091106290672,0.7772511848341233,0.39561049646851887,0.40684605548608055,0.5070007273223581,90,0.509016047948515,51
48,0,36,0,2340.0,43.199999999999996,MOPSO,1,0.2472885032537961,0.7725118483412322,0.39316836612290956,0.4055632378769955,0.5077590968549379,47,0.5099001757975141,9
49,2,35,0,2355.0,43.6,MOPSO,1,0.25054229934924077,0.767772511848341,0.3923061468158356,0.4038087646749125,0.507224219576872,76,0.5091574055987909,45
50,1,36,0,2380.0,44.0,MOPSO,1,0.2559652928416486,0.7630331753554502,0.3904295459613471,0.40241081553324715,0.5075559155113514,56,0.5094992340985494,24
51,0,34,2,2390.0,44.199999999999996,MOPSO,1,0.25813449023861174,0.7606635071090047,0.389758383938975,0.40163490451469686,0.5075035514882321,59,0.5093989986738082,29
52,0,37,0,2405.0,44.4,MOPSO,1,0.2613882863340564,0.7582938388625592,0.38857725483368827,0.4010403291096706,0.5078918419044861,40,0.5098410625983079,11
53,2,36,0,2420.0,44.8,MOPSO,1,0.2646420824295011,0.7535545023696683,0.38777785207380094,0.39933689406133677,0.5073426663922115,72,0.5090982923995847,47
54,0,29,6,2425.0,45.0,MOPSO,1,0.26572668112798264,0.7511848341232227,0.3876423266290768,0.3983997126254066,0.5068427548770286,98,0.5084557576256027,75
55,1,37,0,2445.0,45.199999999999996,MOPSO,1,0.27006507592190887,0.7488151658767773,0.38597241296574536,0.398013598348025,0.507679464433993,50,0.5094401208993431,27
56,0,38,0,2470.0,45.6,MOPSO,1,0.2754880694143167,0.7440758293838862,0.3841922431109651,0.3967185766582356,0.5080203355038394,32,0.5097819493991014,12
57,0,34,3,2480.0,45.9,MOPSO,1,0.27765726681127983,0.740521327014218,0.3837669233809152,0.39543185050524465,0.5074852062876954,63,0.509089296912749,48
58,0,37,1,2495.0,46.1,MOPSO,1,0.2809110629067245,0.7381516587677724,0.38263999178601477,0.39489837192782895,0.5078828137059677,42,0.5095313608372485,22
59,1,38,0,2510.0,46.4,MOPSO,1,0.2841648590021692,0.7345971563981043,0.3817258893759226,0.3938218662288521,0.5077983443085857,46,0.5093810077001367,30
60,0,36,2,2520.0,46.599999999999994,MOPSO,1,0.28633405639913234,0.7322274881516588,0.381123732256759,0.39311076246360555,0.507741214249412,48,0.5092807722753956,36
61,0,39,0,2535.0,46.8,MOPSO,1,0.289587852494577,0.7298578199052133,0.38002046549811996,0.3926046235047454,0.5081437673877831,25,0.5097228361998951,15
62,0,35,3,2545.0,47.1,MOPSO,1,0.2917570498915401,0.726303317535545,0.379643895766277,0.39135619492495366,0.5075955238521185,53,0.5090301837135426,50
63,0,38,1,2560.0,47.300000000000004,MOPSO,1,0.2950108459869848,0.7239336492890994,0.3785572404771902,0.39086804928997115,0.5080000027133825,34,0.5094722476380421,25
64,6,33,2,2565.0,47.8,NSGA-II,1,0.2960954446854664,0.7180094786729858,0.3791438635633025,0.38833301553812577,0.5059865985699596,125,0.5070524616792261,113
65,0,40,0,2600.0,48.0,MOPSO,1,0.3036876355748373,0.7156398104265402,0.37606901835488077,0.3887050675860715,0.5082612953697478,17,0.5096637230006887,17
