metodo,porcentaje_promedio,porcentaje_desviacion,spacing_promedio,spacing_desviacion,tiempo_promedio_s
MOPSO,91.33333333333334,6.497862896539309,0.04482903852343505,0.013012810963225182,7.1711596000001006
NSGA-II,100.0,0.0,0.024997680871898357,0.002935337192045382,3.896293719999812
